order_id,customer_name,customer_email,country,city,product_category,product_name,quantity,unit_price,total_price,order_date,status,sales_rep,region
1016,Mike Wilson,mike.w@corp.com,USA,Chicago,Electronics,Laptop Dell XPS,5,1200.00,6500.00,2024-01-22,Completed,Bob Johnson,NA
1017,Diego Morales,diego@morales.mx,Mexico,Ciudad de Mexico,Food & Beverage,Whey Protein 1kg,0,35.00,0.00,2024-01-23,Cancelled,Carlos Ruiz,LATAM
1018,Elena Vasquez,elena.v@email.com,Colombia,Medellín,Electronics,iPhone 15,1,999.00,999.00,2024-01-23,Completed,Ana Torres,LATAM
1019,Thomas Brown,thomas@brown.uk,UK,London,Clothing,Adidas Ultraboost,2,180.00,360.00,23-01-2024,Completed,Hans Weber,EMEA
1020,Valentina Cruz,val.cruz@gmail.com,Argentina,Buenos Aires,Food & Beverage,Protein Shake x12,8,45.00,360.00,2024-01-24,Completed,Maria Lopez,LATAM
1021,N/A,soporte@empresa.com,Argentina,Buenos Aires,Electronics,MacBook Pro M3,1,2499.00,2499.00,2024-01-24,Completed,Maria Lopez,LATAM
1022,Hiroshi Tanaka,hiroshi@jp.co,Japan,Tokyo,Electronics,Samsung TV 55",3,799.00,2397.00,2024-01-25,Completed,Yuki Sato,APAC
1023,Priya Sharma,priya@india.in,India,Mumbai,Clothing,Nike Air Max,2,89.99,179.98,2024-01-25,Completed,Raj Kumar,APAC
1024,Lucas Petit,lucas.p@fr.com,France,Lyon,Food & Beverage,Whey Protein 1kg,6,35.00,210.00,2024-01-26,Completed,Pierre Martin,EMEA
1025,MARIA FERNANDEZ,m.fernandez@empresa.com,Colombia,Bogotá,Electronics,Laptop Dell XPS,2,1200.00,2400.00,2024-01-26,Completed,Ana Torres,LATAM
1026,Alex Kim,alex.kim@korea.kr,South Korea,Seoul,Electronics,MacBook Pro M3,2,2499.00,4998.00,27-01-2024,Completed,Yuki Sato,APAC
1027,Isabella Romano,i.romano@italy.it,Italy,Rome,Clothing,Louis Vuitton Belt,2,450.00,900.00,2024-01-27,Completed,Pierre Martin,EMEA
1028,Fernando Torres,fernando@torres.ar,Argentina,Rosario,Food & Beverage,Protein Shake x12,3,45.00,135.00,2024-01-28,Pending,Maria Lopez,LATAM
1029,Emma Johnson,emma.j@usa.com,USA,Los Angeles,Clothing,Zara Dress,6,59.99,359.94,2024-01-28,Completed,Bob Johnson,NA
1030,Camila Reyes,camila@reyes.co,Colombia,Cali,Electronics,iPhone 15,1,999.00,99.00,2024-01-29,Completed,Ana Torres,LATAM
1031,david wong,david.wong@hk.com,Hong Kong,Hong Kong,Electronics,Samsung TV 55",4,799.00,3196.00,2024-01-29,completed,Yuki Sato,APAC
1032,Natalia Kovac,natalia@cz.eu,Czech Republic,Prague,Clothing,Adidas Ultraboost,1,180.00,180.00,2024-01-30,Completed,Hans Weber,EMEA
1033,Pablo Herrera,pablo.h@cl.com,Chile,Santiago,Food & Beverage,Whey Protein 1kg,4,35.00,140.00,30-01-2024,Completed,Maria Lopez,LATAM
1034,Yuki Yamamoto,yuki@yamamoto.jp,Japan,Osaka,Electronics,MacBook Pro M3,1,2499.00,2499.00,2024-01-30,COMPLETED,Yuki Sato,APAC
1035,Sarah Connor,sarah@future.com,USA,Dallas,Electronics,Laptop Dell XPS,3,1200.00,3600.00,2024-01-31,Completed,Bob Johnson,NA
1036,Monica Belluci,monica@italy.com,Italy,Milan,Clothing,Louis Vuitton Belt,3,450.00,1350.00,2024-01-31,Completed,Pierre Martin,EMEA
1037,Andrés Gutierrez,andres@gut.mx,Mexico,Puebla,Food & Beverage,Protein Shake x12,,45.00,,2024-02-01,Pending,Carlos Ruiz,LATAM
1038,Rachel Green,rachel@friends.com,USA,New York,Clothing,Zara Dress,2,59.99,119.98,2024-02-01,Completed,Bob Johnson,NA
1039,Omar Hassan,omar@eg.com,Egypt,Cairo,Electronics,iPhone 15,2,999.00,1998.00,2024-02-02,Completed,Hans Weber,EMEA
1040,Lucia Mendez,lucia.m@peru.pe,Peru,Lima,Electronics,Samsung TV 55",1,799.00,799.00,02-02-2024,Cancelled,Ana Torres,LATAM
